"msoa21","msoa21_name","heat_risk","social_risk","heat_enhanced_risk","lst_maxday_mean","lst_daynight_mean","lst_daynight_decile","airtemp_maxday_mean","airtemp_daynight_mean","airtemp_daynight_decile","under5","under5_pct","over75","over75_pct","people_of_colour","people_of_colour_pct","disabled_persons","disabled_persons_pct","life_expectancy_average","life_expectancy_decile","care_or_nursing_home_n","hospital_n","nurseries_n"
"E02000829","Queens Road Peckham","highest heat risk","Highest heat risk","High heat and enhanced risk",42.1,29.39,1,40.01,30.1,1,617,0.0567512877115526,507,0.0466335540838852,6124,0.561,1830,0.168,77.2,1,1,0,3
"E02000830","Camberwell South","highest heat risk","Highest heat risk","High heat and enhanced risk",41.5,29.25,1,40,30.15,1,458,0.0498747685941413,361,0.0393117717521507,3504,0.394,1165,0.131,84.1,9,0,1,4
"E02000831","Peckham Rye","highest heat risk","Highest heat risk","High heat and enhanced risk",41.84,29.22,1,39.88,30.02,1,569,0.0598821300778783,347,0.0365186276573353,3797,0.406,1339,0.143,82.2,6,0,0,6
"E02000832","Nunhead North","highest heat risk","Highest heat risk","High heat and enhanced risk",41.42,28.91,1,39.83,29.95,1,586,0.0607757726612736,429,0.0444928438083385,5038,0.52,1678,0.173,81.9,6,1,0,6
"E02000833","North Dulwich","highest heat risk","Highest heat risk","High heat and enhanced risk",41.4,28.74,1,39.8,29.97,1,376,0.0512960436562074,221,0.030150068212824,4208,0.562,1014,0.135,84,9,0,0,3
"E02000834","Peckham Rye Common","highest heat risk","Highest heat risk","High heat and enhanced risk",41.21,28.58,1,39.7,29.86,1,580,0.0625404356264826,323,0.0348285529437136,2526,0.269,1170,0.125,83.8,9,0,0,5
"E02000835","Nunhead South & Newlands","highest heat risk","Highest heat risk","High heat and enhanced risk",40.88,28.27,2,39.62,29.8,1,568,0.0744332328659416,241,0.0315817061984013,2810,0.366,1011,0.132,83.4,8,1,0,3
"E02000836","East Dulwich","highest heat risk","Highest heat risk","High heat and enhanced risk",41.53,28.56,1,39.7,29.83,1,641,0.0760921177587844,376,0.0446343779677113,2342,0.282,1012,0.122,85,10,1,0,1
"E02000837","Herne Hill & Dulwich Park","highest heat risk","Lowest heat risk","High heat, not enhanced risk",40.44,27.73,3,39.58,29.77,1,450,0.0519510505656892,645,0.0744631724774879,1722,0.201,931,0.109,88.6,10,0,0,4
"E02000838","Dulwich Hill","highest heat risk","Highest heat risk","High heat and enhanced risk",40.13,27.64,3,39.48,29.72,1,592,0.0618923157344485,369,0.0385781495033978,3227,0.34,1277,0.134,82.1,6,1,0,5
"E02000839","Sydenham Hill","highest heat risk","Highest heat risk","High heat and enhanced risk",39.31,27.39,3,39.24,29.63,1,470,0.0565992292870906,538,0.0647880539499037,3588,0.423,1076,0.127,83.6,8,1,0,3
"E02006802","Southwark St George's","highest heat risk","Highest heat risk","High heat and enhanced risk",38.93,28.01,2,40.26,30.79,1,361,0.0361723446893788,219,0.0219438877755511,4659,0.502,1337,0.144,81.9,6,2,1,1
"E02006941","Butler's Wharf and Queen's Walk","highest heat risk","Highest heat risk","High heat and enhanced risk",37.58,26.83,4,40.26,30.64,1,118,0.0226792235248895,32,0.00615029790505478,1446,0.272,410,0.077,80.2,4,0,1,1
"E02006942","Bermondsey North","highest heat risk","Highest heat risk","High heat and enhanced risk",37.89,27.03,4,40.25,30.64,1,265,0.0398496240601504,62,0.00932330827067669,2814,0.417,760,0.113,80.2,4,0,0,0
"E02006403","Stanwell North & Stanwell Moor","highest heat risk","Highest heat risk","High heat and enhanced risk",34.85,25.39,7,39.28,28.71,4,491,0.0718256290228204,336,0.0491515506143944,2322,0.345,997,0.148,78.9,2,2,0,1
"E02006404","Stanwell South","highest heat risk","Medium heat risk","High heat, not enhanced risk",40.14,28.55,1,39.52,29.22,2,542,0.0694604639241317,445,0.0570293476867871,2923,0.377,1197,0.154,79.5,3,2,1,1
"E02006405","Ashford West","highest heat risk","Medium heat risk","High heat, not enhanced risk",38.95,27.04,4,39.32,28.63,4,725,0.0620666038866535,801,0.068572896156151,2800,0.245,1524,0.133,83.8,9,2,0,3
"E02006406","Staines Town","highest heat risk","Medium heat risk","High heat, not enhanced risk",35.2,25.19,8,39.05,28.25,5,568,0.0615985251057369,451,0.0489100965188157,2346,0.262,1132,0.126,83.6,8,1,0,4
"E02006407","Ashford East","highest heat risk","Medium heat risk","High heat, not enhanced risk",40.09,27.71,3,39.33,28.78,4,526,0.0566261169124771,872,0.0938744751857035,1867,0.201,1278,0.137,84.3,9,1,0,2
"E02006408","Ashford Common","highest heat risk","Medium heat risk","High heat, not enhanced risk",40.39,28.64,1,39.2,28.49,5,556,0.0628248587570621,722,0.0815819209039548,1876,0.212,1148,0.13,83.5,8,0,0,1
"E02006409","Staines South East","highest heat risk","Medium heat risk","High heat, not enhanced risk",40.48,27.57,3,39.17,27.93,6,359,0.0532403974492066,473,0.0701468189233279,1122,0.166,1129,0.167,81.7,5,1,0,1
"E02006410","Sunbury Common","highest heat risk","Highest heat risk","High heat and enhanced risk",42.09,28.72,1,39.15,28.65,4,579,0.0660205245153934,507,0.0578107183580388,2304,0.271,1261,0.148,80.1,3,1,0,0
"E02006411","Staines South West","highest heat risk","Medium heat risk","High heat, not enhanced risk",41.03,27.85,2,39.11,27.86,7,326,0.0456326987681971,844,0.118141097424412,983,0.137,954,0.133,83.6,8,0,0,3
"E02006412","Sunbury East","highest heat risk","Lowest heat risk","High heat, not enhanced risk",40.91,27.7,3,39.07,28.55,4,408,0.0528155339805825,745,0.0964401294498382,1398,0.181,959,0.124,85.3,10,0,0,3
"E02006413","Halliford & Sunbury West","highest heat risk","Medium heat risk","High heat, not enhanced risk",40.99,27.89,2,39.1,28.24,5,325,0.0506151689767949,731,0.113845195452422,878,0.136,1046,0.162,81.8,6,4,0,1
"E02006414","Littleton & Shepperton Green","lower heat risk","Medium heat risk","Lower heat risk",36.44,25.68,6,39.18,27.91,7,302,0.0488041370394312,630,0.101809954751131,570,0.091,936,0.15,80.8,4,2,0,1
"E02006415","Shepperton Town","highest heat risk","Lowest heat risk","High heat, not enhanced risk",39.3,26.79,4,39.1,27.87,7,297,0.0431686046511628,1126,0.163662790697674,564,0.081,1078,0.154,84.4,9,1,0,3
"E02004924","Harpenden North","highest heat risk","Lowest heat risk","High heat, not enhanced risk",40.74,26.38,5,38.51,28.34,5,390,0.0506099143524526,516,0.0669608097586296,903,0.117,841,0.109,86.2,10,3,1,1
"E02004925","Harpenden East","highest heat risk","Lowest heat risk","High heat, not enhanced risk",40.58,26.9,4,38.6,28.3,5,459,0.0578668683812405,534,0.0673222390317701,1036,0.131,1012,0.128,83.6,8,1,0,4
"E02004926","Harpenden Town","highest heat risk","Lowest heat risk","High heat, not enhanced risk",40.47,26.3,5,38.51,28.27,5,417,0.0506129384634058,881,0.106930452724845,883,0.109,887,0.109,84.9,10,3,0,6
